"Run 1: Time (s)","Run 1: Illumination (lux)","Run 2: Time (s)","Run 2: Illumination (lux)","Run 3: Time (s)","Run 3: Illumination (lux)","Run 4: Time (s)","Run 4: Illumination (lux)","Run 5: Time (s)","Run 5: Illumination (lux)","Run 6: Time (s)","Run 6: Illumination (lux)"
2.183246,5384.70428467,2.183246,5384.70428467,2.183246,5384.70428467,2.183246,5384.70428467,2.183246,5204.23736572,2.183246,4582.67211914
2.199912,5384.70428467,2.199912,5384.70428467,2.199912,5384.70428467,2.199912,5382.63885498,2.199912,5198.04107666,2.199912,4568.21411133
2.216578,5386.76971436,2.216578,5384.70428467,2.216578,5384.70428467,2.216578,5384.70428467,2.216578,5198.04107666,2.216578,4551.81976318
2.233244,5384.70428467,2.233244,5384.70428467,2.233244,5384.70428467,2.233244,5384.70428467,2.233244,5198.04107666,2.233244,4580.60668945
2.24991,5384.70428467,2.24991,5384.70428467,2.24991,5384.70428467,2.24991,5384.70428467,2.24991,5210.30456543,2.24991,4572.3449707
2.266576,5384.70428467,2.266576,5386.76971436,2.266576,5384.70428467,2.266576,5384.70428467,2.266576,5202.17193604,2.266576,4547.68890381
2.283242,5386.76971436,2.283242,5384.70428467,2.283242,5384.70428467,2.283242,5384.70428467,2.283242,5222.69714355,2.283242,4555.95062256
2.299908,5384.70428467,2.299908,5384.70428467,2.299908,5384.70428467,2.299908,5386.76971436,2.299908,5222.69714355,2.299908,4553.88519287
2.316574,5384.70428467,2.316574,5384.70428467,2.316574,5384.70428467,2.316574,5386.76971436,2.316574,5206.30279541,2.316574,4553.88519287
2.33324,5384.70428467,2.33324,5384.70428467,2.33324,5384.70428467,2.33324,5384.70428467,2.33324,5210.30456543,2.33324,4558.01605225
2.349906,5384.70428467,2.349906,5384.70428467,2.349906,5386.76971436,2.349906,5386.76971436,2.349906,5195.97564697,2.349906,4547.68890381
2.366572,5384.70428467,2.366572,5384.70428467,2.366572,5384.70428467,2.366572,5384.70428467,2.366572,5181.64672852,2.366572,4535.42541504
2.383238,5384.70428467,2.383238,5384.70428467,2.383238,5384.70428467,2.383238,5384.70428467,2.383238,5173.38500977,2.383238,4547.68890381
2.399904,5384.70428467,2.399904,5386.76971436,2.399904,5384.70428467,2.399904,5386.76971436,2.399904,5165.25238037,2.399904,4547.68890381
2.41657,5384.70428467,2.41657,5384.70428467,2.41657,5384.70428467,2.41657,5384.70428467,2.41657,5159.05609131,2.41657,4549.7543335
2.433236,5386.76971436,2.433236,5384.70428467,2.433236,5384.70428467,2.433236,5386.76971436,2.433236,5156.99066162,2.433236,4535.42541504
2.449902,5384.70428467,2.449902,5386.76971436,2.449902,5384.70428467,2.449902,5384.70428467,2.449902,5156.99066162,2.449902,4545.62347412
2.466568,5384.70428467,2.466568,5384.70428467,2.466568,5384.70428467,2.466568,5384.70428467,2.466568,5169.38323975,2.466568,4555.95062256
2.483234,5386.76971436,2.483234,5384.70428467,2.483234,5384.70428467,2.483234,5384.70428467,2.483234,5152.85980225,2.483234,4551.81976318
2.4999,5384.70428467,2.4999,5384.70428467,2.4999,5384.70428467,2.4999,5384.70428467,2.4999,5171.31958008,2.4999,4541.6217041
2.516566,5384.70428467,2.516566,5384.70428467,2.516566,5384.70428467,2.516566,5384.70428467,2.516566,5175.45043945,2.516566,4564.21234131
2.533232,5384.70428467,2.533232,5384.70428467,2.533232,5384.70428467,2.533232,5384.70428467,2.533232,5183.7121582,2.533232,4566.14868164
2.549898,5386.76971436,2.549898,5386.76971436,2.549898,5384.70428467,2.549898,5384.70428467,2.549898,5171.31958008,2.549898,4551.81976318
2.566564,5386.76971436,2.566564,5386.76971436,2.566564,5386.76971436,2.566564,5384.70428467,2.566564,5183.7121582,2.566564,4551.81976318
2.58323,5384.70428467,2.58323,5384.70428467,2.58323,5384.70428467,2.58323,5384.70428467,2.58323,5200.10650635,2.58323,4564.21234131
2.599896,5384.70428467,2.599896,5384.70428467,2.599896,5384.70428467,2.599896,5384.70428467,2.599896,5191.8447876,2.599896,4549.7543335
2.616562,5384.70428467,2.616562,5384.70428467,2.616562,5386.76971436,2.616562,5386.76971436,2.616562,5183.7121582,2.616562,4549.7543335
2.633228,5384.70428467,2.633228,5384.70428467,2.633228,5384.70428467,2.633228,5386.76971436,2.633228,5204.23736572,2.633228,4555.95062256
2.649894,5384.70428467,2.649894,5384.70428467,2.649894,5384.70428467,2.649894,5384.70428467,2.649894,5198.04107666,2.649894,4545.62347412
2.66656,5384.70428467,2.66656,5386.76971436,2.66656,5384.70428467,2.66656,5384.70428467,2.66656,5214.4354248,2.66656,4564.21234131
2.683226,5386.76971436,2.683226,5384.70428467,2.683226,5384.70428467,2.683226,5384.70428467,2.683226,5222.69714355,2.683226,4566.14868164
2.699892,5384.70428467,2.699892,5384.70428467,2.699892,5386.76971436,2.699892,5382.63885498,2.699892,5208.23913574,2.699892,4549.7543335
2.716558,5384.70428467,2.716558,5384.70428467,2.716558,5384.70428467,2.716558,5384.70428467,2.716558,5202.17193604,2.716558,4549.7543335
2.733224,5384.70428467,2.733224,5386.76971436,2.733224,5386.76971436,2.733224,5384.70428467,2.733224,5222.69714355,2.733224,4560.08148193
2.74989,5384.70428467,2.74989,5384.70428467,2.74989,5384.70428467,2.74989,5384.70428467,2.74989,5214.4354248,2.74989,4541.6217041
2.766556,5384.70428467,2.766556,5384.70428467,2.766556,5384.70428467,2.766556,5384.70428467,2.766556,5204.23736572,2.766556,4537.49084473
2.783222,5384.70428467,2.783222,5384.70428467,2.783222,5384.70428467,2.783222,5384.70428467,2.783222,5218.56628418,2.783222,4543.68713379
2.799888,5384.70428467,2.799888,5384.70428467,2.799888,5386.76971436,2.799888,5384.70428467,2.799888,5216.50085449,2.799888,4547.68890381
2.816554,5384.70428467,2.816554,5384.70428467,2.816554,5384.70428467,2.816554,5386.76971436,2.816554,5222.69714355,2.816554,4551.81976318
2.83322,5384.70428467,2.83322,5384.70428467,2.83322,5384.70428467,2.83322,5384.70428467,2.83322,5216.50085449,2.83322,4547.68890381
2.849886,5386.76971436,2.849886,5384.70428467,2.849886,5384.70428467,2.849886,5384.70428467,2.849886,5214.4354248,2.849886,4549.7543335
2.866552,5384.70428467,2.866552,5384.70428467,2.866552,5384.70428467,2.866552,5384.70428467,2.866552,5220.63171387,2.866552,4568.21411133
2.883218,5384.70428467,2.883218,5384.70428467,2.883218,5384.70428467,2.883218,5384.70428467,2.883218,5224.76257324,2.883218,4558.01605225
2.899884,5384.70428467,2.899884,5384.70428467,2.899884,5384.70428467,2.899884,5384.70428467,2.899884,5222.69714355,2.899884,4537.49084473
2.91655,5384.70428467,2.91655,5384.70428467,2.91655,5384.70428467,2.91655,5384.70428467,2.91655,5216.50085449,2.91655,4558.01605225
2.933216,5386.76971436,2.933216,5384.70428467,2.933216,5384.70428467,2.933216,5386.76971436,2.933216,5216.50085449,2.933216,4558.01605225
2.949882,5384.70428467,2.949882,5384.70428467,2.949882,5384.70428467,2.949882,5384.70428467,2.949882,5224.76257324,2.949882,4549.7543335
2.966548,5384.70428467,2.966548,5384.70428467,2.966548,5384.70428467,2.966548,5384.70428467,2.966548,5212.36999512,2.966548,4543.68713379
2.983214,5384.70428467,2.983214,5384.70428467,2.983214,5384.70428467,2.983214,5384.70428467,2.983214,5222.69714355,2.983214,4547.68890381
2.99988,5384.70428467,2.99988,5384.70428467,2.99988,5384.70428467,2.99988,5384.70428467,2.99988,5222.69714355,2.99988,4543.68713379
3.016546,5384.70428467,3.016546,5386.76971436,3.016546,5384.70428467,3.016546,5384.70428467,3.016546,5226.69891357,3.016546,4553.88519287
3.033212,5384.70428467,3.033212,5384.70428467,3.033212,5384.70428467,3.033212,5386.76971436,3.033212,5224.76257324,3.033212,4564.21234131
3.049878,5384.70428467,3.049878,5386.76971436,3.049878,5384.70428467,3.049878,5384.70428467,3.049878,5208.23913574,3.049878,4537.49084473
3.066544,5384.70428467,3.066544,5384.70428467,3.066544,5384.70428467,3.066544,5384.70428467,3.066544,5208.23913574,3.066544,4545.62347412
3.08321,5384.70428467,3.08321,5384.70428467,3.08321,5384.70428467,3.08321,5384.70428467,3.08321,5216.50085449,3.08321,4564.21234131
